"","CDUID","C_YEAR","TFAREA","NTFAREA","CRPLND","NCRPLND","INSECTI","NINSECTI","REGION"
"1","1001","1996",58877,337,7212,235,431,66,"MARITIME"
"2","1001","2001",53672,301,8139,230,525,65,"MARITIME"
"3","1001","2006",39426,266,8077,196,438,38,"MARITIME"
"4","1001","2011",38070,267,7328,199,308,36,"MARITIME"
"5","1001","2016",33167,215,6234,162,125,24,"MARITIME"
"6","1002","1996",7630,29,123,14,25,5,"MARITIME"
"7","1002","2001",1716,26,342,19,27,6,"MARITIME"
"8","1004","1996",11031,65,1993,55,132,16,"MARITIME"
"9","1004","2001",12088,51,2914,38,140,13,"MARITIME"
"10","1004","2006",14874,55,4243,41,98,10,"MARITIME"
"11","1004","2011",9701,34,3360,25,61,8,"MARITIME"
"12","1004","2016",8208,30,3911,24,35,5,"MARITIME"
"13","1005","1996",14246,105,4205,76,207,18,"MARITIME"
"14","1005","2001",18308,100,5637,82,174,18,"MARITIME"
"15","1005","2006",16081,83,5030,62,217,11,"MARITIME"
"16","1005","2011",12605,77,5581,59,97,9,"MARITIME"
"17","1005","2016",13291,42,5449,33,138,8,"MARITIME"
"18","1006","1996",4033,46,895,29,31,5,"MARITIME"
"19","1006","2001",4053,42,1208,25,281,8,"MARITIME"
"20","1006","2006",5914,42,1823,29,159,8,"MARITIME"
"21","1006","2011",6057,41,1354,33,201,8,"MARITIME"
"22","1006","2016",6629,36,1476,27,280,10,"MARITIME"
"23","1007","1996",7284,87,2609,50,235,20,"MARITIME"
"24","1007","2001",6063,64,2114,44,263,18,"MARITIME"
"25","1007","2006",7935,59,2945,42,241,15,"MARITIME"
"26","1007","2011",6400,43,2358,34,187,11,"MARITIME"
"27","1007","2016",3823,30,1202,21,100,6,"MARITIME"
"28","1008","1996",5219,73,705,43,151,22,"MARITIME"
"29","1008","2001",4371,59,489,39,175,23,"MARITIME"
"30","1008","2006",5211,53,553,34,159,18,"MARITIME"
"31","1008","2011",4516,48,637,32,165,17,"MARITIME"
"32","1008","2016",3568,31,439,21,169,10,"MARITIME"
"33","1101","1996",127642,373,70923,327,18085,90,"MARITIME"
"34","1101","2001",130448,322,77155,292,18941,96,"MARITIME"
"35","1101","2006",122993,286,74688,263,17540,78,"MARITIME"
"36","1101","2011",118202,269,73184,250,13975,73,"MARITIME"
"37","1101","2016",107529,240,63573,219,16386,84,"MARITIME"
"38","1102","1996",272668,1088,175988,959,37448,272,"MARITIME"
"39","1102","2001",262118,905,176206,828,30452,226,"MARITIME"
"40","1102","2006",250749,835,172762,737,27108,175,"MARITIME"
"41","1102","2011",247805,733,175028,644,31941,169,"MARITIME"
"42","1102","2016",229261,679,161836,609,28853,146,"MARITIME"
"43","1103","1996",255055,756,174060,652,60355,329,"MARITIME"
"44","1103","2001",253571,618,180280,564,62448,283,"MARITIME"
"45","1103","2006",246143,579,175831,524,54599,225,"MARITIME"
"46","1103","2011",228317,493,162500,441,49572,179,"MARITIME"
"47","1103","2016",238700,434,174913,390,54965,158,"MARITIME"
"48","1201","2001",4723,27,312,14,156,5,"MARITIME"
"49","1202","1996",21621,133,2420,79,78,13,"MARITIME"
"50","1202","2001",16465,112,2922,80,81,12,"MARITIME"
"51","1202","2006",14715,93,3017,72,52,8,"MARITIME"
"52","1202","2011",12384,91,2628,66,32,7,"MARITIME"
"53","1203","1996",15899,132,1554,53,60,9,"MARITIME"
"54","1203","2011",13178,150,1087,51,179,8,"MARITIME"
"55","1203","2016",13498,137,1431,60,168,12,"MARITIME"
"56","1204","1996",11602,58,1668,31,234,8,"MARITIME"
"57","1204","2001",12589,46,2198,27,318,8,"MARITIME"
"58","1204","2006",13060,35,2339,19,151,3,"MARITIME"
"59","1204","2011",10954,37,1644,21,177,4,"MARITIME"
"60","1205","1996",70353,271,17970,207,1040,38,"MARITIME"
"61","1205","2001",78495,250,17839,205,2912,43,"MARITIME"
"62","1205","2006",71290,228,18699,194,1231,27,"MARITIME"
"63","1205","2011",51133,234,16706,192,968,26,"MARITIME"
"64","1205","2016",49546,218,6237,178,703,18,"MARITIME"
"65","1206","1996",82981,450,8615,200,509,26,"MARITIME"
"66","1206","2001",71157,370,9669,204,2670,60,"MARITIME"
"67","1206","2006",74715,326,9304,186,2144,39,"MARITIME"
"68","1206","2011",74514,342,9649,189,1860,33,"MARITIME"
"69","1206","2016",45268,285,7051,168,118,13,"MARITIME"
"70","1207","1996",138955,707,58288,568,17310,294,"MARITIME"
"71","1207","2001",129938,644,58972,539,19537,257,"MARITIME"
"72","1207","2006",120105,604,52961,492,10617,202,"MARITIME"
"73","1207","2011",122640,614,54974,470,10916,160,"MARITIME"
"74","1207","2016",114421,565,57642,439,11130,156,"MARITIME"
"75","1208","1996",98895,393,31253,331,794,53,"MARITIME"
"76","1208","2001",89521,336,31388,298,1041,38,"MARITIME"
"77","1208","2006",90349,343,34937,294,1195,26,"MARITIME"
"78","1208","2011",93218,342,34043,280,1574,28,"MARITIME"
"79","1209","1996",45441,210,10595,127,245,18,"MARITIME"
"80","1209","2001",32860,152,9422,101,37,10,"MARITIME"
"81","1209","2006",35280,154,9980,113,199,14,"MARITIME"
"82","1209","2011",37360,164,10966,114,403,9,"MARITIME"
"83","1209","2016",30537,160,9099,110,447,16,"MARITIME"
"84","1210","1996",133393,538,37868,428,2147,72,"MARITIME"
"85","1210","2001",129828,452,41468,386,3501,71,"MARITIME"
"86","1210","2006",125036,442,40905,383,2408,71,"MARITIME"
"87","1210","2011",143333,455,39879,397,3333,85,"MARITIME"
"88","1210","2016",121572,394,38135,337,4237,97,"MARITIME"
"89","1211","1996",181283,556,48424,506,5368,121,"MARITIME"
"90","1211","2001",170358,539,54405,504,7133,131,"MARITIME"
"91","1211","2006",180449,553,51837,518,8160,140,"MARITIME"
"92","1211","2011",224986,562,52690,516,9613,158,"MARITIME"
"93","1211","2016",227174,534,47104,480,12505,189,"MARITIME"
"94","1212","1996",79885,343,24327,289,729,31,"MARITIME"
"95","1212","2001",74498,274,22813,235,1064,25,"MARITIME"
